tweet_id	tweet_url	tweet_text	stance	persuasiveness	split
n/a	n/a	The only way to stop abortion in this country is for people to get the abortion they want.	support	no	train
n/a	n/a	"If you are a pro-choice person, you should be able to access the same abortion rights as anyone else."	support	no	train
n/a	n/a	"The right to life is the only right. Whether you are a woman or a man, you have the right to choose whether you want to have sex with a woman or not."	support	no	train
n/a	n/a	"Abortion is not a crime. It is a right, and a right that all Americans can enjoy."	support	no	train
n/a	n/a	You can count on me to fight for the rights of women to choose whether or not to have an abortion.	support	no	train
n/a	n/a	I support the right to abort.	support	no	train
n/a	n/a	The abortion ban should be repealed.	support	no	train
n/a	n/a	Abortion freedom has never been more important. It is the right thing to do.	support	no	train
n/a	n/a	"If you're a pro-choice voter, you'll be happy to know that most states have signed legislation allowing states to prohibit abortion."	support	no	train
n/a	n/a	Abortion is a human right and a right to freedom.	support	no	train
n/a	n/a	The right to abortion is a right we all should defend.	support	no	train
n/a	n/a	Protecting abortion rights is protecting freedom.	support	no	train
n/a	n/a	Every woman deserves the right to choose.	support	no	train
n/a	n/a	Abortion freedom ensures equality.	support	no	train
n/a	n/a	No government should control a woman's body. #MyBodyMyChoice	support	no	train
n/a	n/a	Abortion is healthcare. Reproductive freedom is essential.	support	no	train
n/a	n/a	The fight for reproductive freedom is a fight for justice.	support	no	train
n/a	n/a	Access to safe abortion saves lives.	support	no	train
n/a	n/a	Every woman deserves the right to choose. #ProChoice	support	no	train
n/a	n/a	Abortion bans harm women and families. Say no to bans!	support	no	train
n/a	n/a	Abortion freedom ensures equality for all. #ProChoice	support	no	train
n/a	n/a	Reproductive freedom is essential for equality. #ReproductiveRights	support	no	train
n/a	n/a	It's time to stand up for abortion rights. #ProChoice	support	no	train
n/a	n/a	The right to choose is fundamental. #ReproductiveJustice	support	no	train
n/a	n/a	Abortion is a human right. Let's protect it!	support	no	train
n/a	n/a	"Together, we can protect abortion rights for future generations."	support	no	train
n/a	n/a	Let women decide what's best for their own lives. #MyBodyMyChoice	support	no	train
n/a	n/a	Abortion is healthcare. Everyone deserves access to it.	support	no	train
n/a	n/a	Stand up for reproductive freedom!	support	no	train
n/a	n/a	Every woman has the right to make choices about her own body.	support	no	train
n/a	n/a	The fight for abortion rights is far from over.	support	no	train
n/a	n/a	No one should interfere with a woman's right to choose.	support	no	train
n/a	n/a	Protect women's rights. Protect abortion rights. #ProChoice	support	no	train
n/a	n/a	We must protect abortion rights. They're under attack.	support	no	train
n/a	n/a	Reproductive rights are essential for justice. #MyBodyMyChoice	support	no	train
n/a	n/a	"Abortion is healthcare, and everyone deserves access. #ProChoice"	support	no	train
n/a	n/a	Every person deserves the right to make their own choices. #ProChoice	support	no	train
n/a	n/a	"Protect abortion rights, they ensure equality. #Equality"	support	no	train
n/a	n/a	Everyone deserves the freedom to choose.	support	no	train
n/a	n/a	Safe abortion access is critical for women's health.	support	no	train
n/a	n/a	"Abortion is healthcare, and everyone deserves access."	support	no	train
n/a	n/a	The right to choose must be protected. #ReproductiveRights	support	no	train
n/a	n/a	"Protect abortion rights, they ensure equality. #Freedom"	support	no	train
n/a	n/a	Abortion bans harm families and communities.	support	no	train
n/a	n/a	Reproductive freedom is about dignity and autonomy.	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #ProChoice"	support	no	train
n/a	n/a	Say no to government control over women's bodies. #MyBodyMyChoice	support	no	train
n/a	n/a	Abortion saves lives and supports equality.	support	no	train
n/a	n/a	"Stand with women, protect reproductive freedom."	support	no	train
n/a	n/a	"Abortion is healthcare, and everyone deserves access. #Freedom"	support	no	train
n/a	n/a	"My body, my choice. No one else decides."	support	no	train
n/a	n/a	The right to choose must be protected. #MyBodyMyChoice	support	no	train
n/a	n/a	"Abortion is healthcare, and everyone deserves access. #Healthcare"	support	no	train
n/a	n/a	The right to choose must be protected.	support	no	train
n/a	n/a	"My body, my choice. No one else decides. #Freedom"	support	no	train
n/a	n/a	Say no to government control over women's bodies.	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives."	support	no	train
n/a	n/a	Abortion bans harm families and communities. #ReproductiveRights	support	no	train
n/a	n/a	"Stand with women, protect reproductive freedom. #ProChoice"	support	no	train
n/a	n/a	Abortion bans harm families and communities. #ProChoice	support	no	train
n/a	n/a	Reproductive freedom is about dignity and autonomy. #ProChoice	support	no	train
n/a	n/a	"Abortion is healthcare, and everyone deserves access. #MyBodyMyChoice"	support	no	train
n/a	n/a	Every person deserves the right to make their own choices. #Healthcare	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #Equality	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #ProChoice	support	no	train
n/a	n/a	Every person deserves the right to make their own choices. #Equality	support	no	train
n/a	n/a	Abortion rights are human rights. #ProChoice	support	no	train
n/a	n/a	Reproductive rights are essential for justice. #Healthcare	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #Equality"	support	no	train
n/a	n/a	"Protect abortion rights, they ensure equality. #MyBodyMyChoice"	support	no	train
n/a	n/a	Safe abortion access is critical for women's health. #Freedom	support	no	train
n/a	n/a	Say no to government control over women's bodies. #ProChoice	support	no	train
n/a	n/a	Abortion bans harm families and communities. #Freedom	support	no	train
n/a	n/a	Reproductive rights are essential for justice. #ReproductiveRights	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #Healthcare	support	no	train
n/a	n/a	Abortion rights are human rights. #MyBodyMyChoice	support	no	train
n/a	n/a	Safe abortion access is critical for women's health. #Healthcare	support	no	train
n/a	n/a	Every person deserves the right to make their own choices.	support	no	train
n/a	n/a	Reproductive freedom is about dignity and autonomy. #Healthcare	support	no	train
n/a	n/a	Abortion rights are human rights.	support	no	train
n/a	n/a	Safe abortion access is critical for women's health. #ProChoice	support	no	train
n/a	n/a	Say no to government control over women's bodies. #Healthcare	support	no	train
n/a	n/a	"My body, my choice. No one else decides. #ProChoice"	support	no	train
n/a	n/a	"Abortion is healthcare, and everyone deserves access. #ReproductiveRights"	support	no	train
n/a	n/a	Safe abortion access is critical for women's health. #MyBodyMyChoice	support	no	train
n/a	n/a	"Stand with women, protect reproductive freedom. #ReproductiveRights"	support	no	train
n/a	n/a	"Stand with women, protect reproductive freedom. #Healthcare"	support	no	train
n/a	n/a	"Protect abortion rights, they ensure equality."	support	no	train
n/a	n/a	Abortion rights are human rights. #ReproductiveRights	support	no	train
n/a	n/a	Say no to government control over women's bodies. #Equality	support	no	train
n/a	n/a	"My body, my choice. No one else decides. #ReproductiveRights"	support	no	train
n/a	n/a	"Protect abortion rights, they ensure equality. #ProChoice"	support	no	train
n/a	n/a	Abortion bans harm families and communities. #MyBodyMyChoice	support	no	train
n/a	n/a	Reproductive freedom is about dignity and autonomy. #Equality	support	no	train
n/a	n/a	The right to choose must be protected. #Equality	support	no	train
n/a	n/a	Abortion saves lives and supports equality. #Healthcare	support	no	train
n/a	n/a	Safe abortion access is critical for women's health. #ReproductiveRights	support	no	train
n/a	n/a	"Abortion is healthcare, and everyone deserves access. #Equality"	support	no	train
n/a	n/a	The right to choose must be protected. #Healthcare	support	no	train
n/a	n/a	"Stand with women, protect reproductive freedom. #Freedom"	support	no	train
n/a	n/a	Reproductive rights are essential for justice.	support	no	train
n/a	n/a	"Stand with women, protect reproductive freedom. #Equality"	support	no	train
n/a	n/a	Say no to government control over women's bodies. #ReproductiveRights	support	no	train
n/a	n/a	Abortion saves lives and supports equality. #Freedom	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #Healthcare"	support	no	train
n/a	n/a	"Protect abortion rights, they ensure equality. #ReproductiveRights"	support	no	train
n/a	n/a	Abortion rights are human rights. #Equality	support	no	train
n/a	n/a	"My body, my choice. No one else decides. #Equality"	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #MyBodyMyChoice	support	no	train
n/a	n/a	Abortion bans harm families and communities. #Equality	support	no	train
n/a	n/a	Reproductive freedom is about dignity and autonomy. #ReproductiveRights	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #ReproductiveRights"	support	no	train
n/a	n/a	Abortion saves lives and supports equality. #ReproductiveRights	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #MyBodyMyChoice"	support	no	train
n/a	n/a	Abortion rights are human rights. #Freedom	support	no	train
n/a	n/a	Abortion saves lives and supports equality. #ProChoice	support	no	train
n/a	n/a	Abortion saves lives and supports equality. #Equality	support	no	train
n/a	n/a	Reproductive rights are essential for justice. #ProChoice	support	no	train
n/a	n/a	Every person deserves the right to make their own choices. #MyBodyMyChoice	support	no	train
n/a	n/a	Reproductive rights are essential for justice. #Freedom	support	no	train
n/a	n/a	Safe abortion access is critical for women's health. #Equality	support	no	train
n/a	n/a	Every person deserves the right to make their own choices. #ReproductiveRights	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #Freedom"	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #ReproductiveRights	support	no	train
n/a	n/a	Reproductive freedom is about dignity and autonomy. #Freedom	support	no	train
n/a	n/a	Equality begins with access to abortion. #MyBodyMyChoice	support	no	train
n/a	n/a	Reproductive care is healthcare. Period.	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity.	support	no	train
n/a	n/a	"Abortion is a right, not a privilege. #Dignity"	support	no	train
n/a	n/a	Equality begins with access to abortion.	support	no	train
n/a	n/a	Justice means ensuring abortion access. #Equality	support	no	train
n/a	n/a	Healthcare includes abortion rights.	support	no	train
n/a	n/a	"Stand with women, support abortion rights."	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity. #Dignity	support	no	train
n/a	n/a	Say no to government control over women's bodies. #ReproductiveRights	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans. #Healthcare	support	no	train
n/a	n/a	Justice means ensuring abortion access. #Freedom	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #Dignity"	support	no	train
n/a	n/a	Say no to government control over women's bodies. #Freedom	support	no	train
n/a	n/a	"Protect women's rights, protect choice. #Equality"	support	no	train
n/a	n/a	Everyone deserves the freedom to choose.	support	no	train
n/a	n/a	Safe abortion is critical for women's health. #ReproductiveRights	support	no	train
n/a	n/a	Justice means ensuring abortion access.	support	no	train
n/a	n/a	Safe abortion is critical for women's health. #Dignity	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans.	support	no	train
n/a	n/a	Healthcare includes abortion rights. #MyBodyMyChoice	support	no	train
n/a	n/a	"Stand with women, support abortion rights. #Healthcare"	support	no	train
n/a	n/a	"Protect women's rights, protect choice. #Healthcare"	support	no	train
n/a	n/a	Reproductive care is healthcare. Period. #Justice	support	no	train
n/a	n/a	Safe abortion is critical for women's health.	support	no	train
n/a	n/a	"Protect women's rights, protect choice. #Freedom"	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans. #MyBodyMyChoice	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #Equality	support	no	train
n/a	n/a	"Stand with women, support abortion rights. #Justice"	support	no	train
n/a	n/a	Reproductive rights ensure equality for all. #MyBodyMyChoice	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #Dignity	support	no	train
n/a	n/a	Say no to government control over women's bodies. #Equality	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #Freedom"	support	no	train
n/a	n/a	Support reproductive justice for all. #ReproductiveRights	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity. #ProChoice	support	no	train
n/a	n/a	"Stand with women, support abortion rights. #ReproductiveRights"	support	no	train
n/a	n/a	Healthcare includes abortion rights. #Freedom	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #Healthcare	support	no	train
n/a	n/a	Support reproductive justice for all.	support	no	train
n/a	n/a	"Protect women's rights, protect choice."	support	no	train
n/a	n/a	"Abortion is a right, not a privilege."	support	no	train
n/a	n/a	Equality begins with access to abortion. #Justice	support	no	train
n/a	n/a	"Stand with women, support abortion rights. #Equality"	support	no	train
n/a	n/a	Equality begins with access to abortion. #ProChoice	support	no	train
n/a	n/a	Safe abortion is critical for women's health. #Equality	support	no	train
n/a	n/a	Support reproductive justice for all. #Freedom	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity. #Healthcare	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity. #Equality	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity. #MyBodyMyChoice	support	no	train
n/a	n/a	"Abortion is a right, not a privilege. #Freedom"	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives."	support	no	train
n/a	n/a	Reproductive rights ensure equality for all. #Healthcare	support	no	train
n/a	n/a	Reproductive care is healthcare. Period. #Dignity	support	no	train
n/a	n/a	"Protect women's rights, protect choice. #Justice"	support	no	train
n/a	n/a	Safe abortion is critical for women's health. #ProChoice	support	no	train
n/a	n/a	Support reproductive justice for all. #Dignity	support	no	train
n/a	n/a	"Abortion is a right, not a privilege. #MyBodyMyChoice"	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #Justice"	support	no	train
n/a	n/a	Say no to government control over women's bodies. #ProChoice	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #ReproductiveRights	support	no	train
n/a	n/a	"Abortion is a right, not a privilege. #ReproductiveRights"	support	no	train
n/a	n/a	Say no to government control over women's bodies.	support	no	train
n/a	n/a	Safe abortion is critical for women's health. #MyBodyMyChoice	support	no	train
n/a	n/a	Justice means ensuring abortion access. #Dignity	support	no	train
n/a	n/a	Healthcare includes abortion rights. #Justice	support	no	train
n/a	n/a	Equality begins with access to abortion. #Freedom	support	no	train
n/a	n/a	Reproductive rights ensure equality for all.	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans. #Justice	support	no	train
n/a	n/a	Support reproductive justice for all. #Equality	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #Healthcare"	support	no	train
n/a	n/a	Reproductive care is healthcare. Period. #MyBodyMyChoice	support	no	train
n/a	n/a	Reproductive rights ensure equality for all. #Freedom	support	no	train
n/a	n/a	Support reproductive justice for all. #MyBodyMyChoice	support	no	train
n/a	n/a	"Abortion is a right, not a privilege. #Healthcare"	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans. #Freedom	support	no	train
n/a	n/a	Support reproductive justice for all. #Justice	support	no	train
n/a	n/a	Safe abortion is critical for women's health. #Healthcare	support	no	train
n/a	n/a	Healthcare includes abortion rights. #ProChoice	support	no	train
n/a	n/a	Reproductive care is healthcare. Period. #ProChoice	support	no	train
n/a	n/a	Reproductive care is healthcare. Period. #ReproductiveRights	support	no	train
n/a	n/a	Reproductive rights ensure equality for all. #ReproductiveRights	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #ReproductiveRights"	support	no	train
n/a	n/a	Healthcare includes abortion rights. #Equality	support	no	train
n/a	n/a	"Protect women's rights, protect choice. #ReproductiveRights"	support	no	train
n/a	n/a	Say no to government control over women's bodies. #MyBodyMyChoice	support	no	train
n/a	n/a	Equality begins with access to abortion. #Equality	support	no	train
n/a	n/a	Reproductive rights ensure equality for all. #Justice	support	no	train
n/a	n/a	Healthcare includes abortion rights. #ReproductiveRights	support	no	train
n/a	n/a	"Protect women's rights, protect choice. #ProChoice"	support	no	train
n/a	n/a	"Stand with women, support abortion rights. #ProChoice"	support	no	train
n/a	n/a	Reproductive care is healthcare. Period. #Freedom	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans. #ProChoice	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans. #Equality	support	no	train
n/a	n/a	Safe abortion is critical for women's health. #Justice	support	no	train
n/a	n/a	Healthcare includes abortion rights. #Dignity	support	no	train
n/a	n/a	"Abortion is a right, not a privilege. #Equality"	support	no	train
n/a	n/a	Equality begins with access to abortion. #ReproductiveRights	support	no	train
n/a	n/a	Reproductive care is healthcare. Period. #Healthcare	support	no	train
n/a	n/a	Say no to government control over women's bodies. #Healthcare	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #Freedom	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #ProChoice"	support	no	train
n/a	n/a	"Stand with women, support abortion rights. #MyBodyMyChoice"	support	no	train
n/a	n/a	Say no to government control over women's bodies. #Justice	support	no	train
n/a	n/a	"Defend reproductive freedom, it saves lives. #MyBodyMyChoice"	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity. #ReproductiveRights	support	no	train
n/a	n/a	Equality begins with access to abortion. #Dignity	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #MyBodyMyChoice	support	no	train
n/a	n/a	Justice means ensuring abortion access. #Healthcare	support	no	train
n/a	n/a	Everyone deserves the freedom to choose. #ProChoice	support	no	train
n/a	n/a	Abortion bans harm everyone. Stop the bans. #ReproductiveRights	support	no	train
n/a	n/a	Reproductive rights ensure equality for all. #ProChoice	support	no	train
n/a	n/a	Reproductive freedom is essential for dignity. #Freedom	support	no	train
n/a	n/a	Say no to government control over women's bodies. #Dignity	support	no	train
n/a	n/a	Justice means ensuring abortion access. #ReproductiveRights	support	no	train
n/a	n/a	Reproductive care is basic healthcare.	support	no	train
n/a	n/a	"Protect choice, protect dignity. #ProChoice"	support	no	train
n/a	n/a	Everyone deserves access to reproductive healthcare.	support	no	train
n/a	n/a	Reproductive freedom is a human right. #Freedom	support	no	train
n/a	n/a	Justice includes the right to safe abortion.	support	no	train
n/a	n/a	Healthcare includes the right to choose. #ProChoice	support	no	train
n/a	n/a	Abortion bans hurt the most vulnerable. #ReproductiveRights	support	no	train
n/a	n/a	Equality begins with reproductive justice. #Equality	support	no	train
n/a	n/a	Abortion care saves lives and supports families. #ReproductiveRights	support	no	train
n/a	n/a	Equality begins with reproductive justice. #Justice	support	no	train
n/a	n/a	"Support reproductive health, support equality. #Equality"	support	no	train
n/a	n/a	Equality begins with reproductive justice. #ReproductiveRights	support	no	train
n/a	n/a	Access to abortion is access to equality. #MyBodyMyChoice	support	no	train
n/a	n/a	"Choice is about freedom, not control."	support	no	train
n/a	n/a	Abortion bans violate human rights. #Justice	support	no	train
n/a	n/a	Abortion is a deeply personal decision. #MyBodyMyChoice	support	no	train
n/a	n/a	Support those fighting for abortion rights. #ProChoice	support	no	train
n/a	n/a	Healthcare includes the right to choose. #ReproductiveRights	support	no	train
n/a	n/a	Equality begins with reproductive justice.	support	no	train
n/a	n/a	Abortion bans violate human rights. #Equality	support	no	train
n/a	n/a	Abortion bans hurt the most vulnerable.	support	no	train
n/a	n/a	Reproductive care is basic healthcare. #Freedom	support	no	train
n/a	n/a	Support those fighting for abortion rights. #MyBodyMyChoice	support	no	train
n/a	n/a	"Protect choice, protect dignity."	support	no	train
n/a	n/a	Healthcare includes the right to choose. #Freedom	support	no	train
n/a	n/a	Justice includes the right to safe abortion. #Healthcare	support	no	train
n/a	n/a	Women's voices matter. Support their rights.	support	no	train
n/a	n/a	Dignity includes the right to make your own choices.	support	no	train
n/a	n/a	Healthcare includes the right to choose.	support	no	train
n/a	n/a	"Protect choice, protect dignity. #ReproductiveRights"	support	no	train
n/a	n/a	"Support reproductive health, support equality."	support	no	train
n/a	n/a	The future depends on protecting choice. #Healthcare	support	no	train
n/a	n/a	"Healthcare should include everyone, always. #Justice"	support	no	train
n/a	n/a	Support those fighting for abortion rights.	support	no	train
n/a	n/a	Everyone deserves safe and legal abortion access. #Equality	support	no	train
n/a	n/a	Justice includes the right to safe abortion. #MyBodyMyChoice	support	no	train
n/a	n/a	No one should make choices for someone else.	support	no	train
n/a	n/a	Abortion is a deeply personal decision. #Equality	support	no	train
n/a	n/a	Abortion is a deeply personal decision.	support	no	train
n/a	n/a	"Support reproductive health, support equality. #ProChoice"	support	no	train
n/a	n/a	The future depends on protecting choice.	support	no	train
n/a	n/a	"Healthcare should include everyone, always."	support	no	train
n/a	n/a	"Respect women, trust their choices. #ReproductiveRights"	support	no	train
n/a	n/a	Access to abortion is access to equality.	support	no	train
n/a	n/a	Abortion rights are fundamental human rights.	support	no	train
n/a	n/a	Everyone deserves safe and legal abortion access. #Healthcare	support	no	train
n/a	n/a	"Respect women, trust their choices. #Justice"	support	no	train
n/a	n/a	Everyone deserves safe and legal abortion access.	support	no	train
n/a	n/a	Abortion bans violate human rights. #Healthcare	support	no	train
n/a	n/a	Abortion bans violate human rights.	support	no	train
n/a	n/a	The future depends on protecting choice. #ProChoice	support	no	train
n/a	n/a	Reproductive freedom is a human right. #MyBodyMyChoice	support	no	train
n/a	n/a	"Healthcare should include everyone, always. #ProChoice"	support	no	train
n/a	n/a	Abortion bans hurt the most vulnerable. #MyBodyMyChoice	support	no	train
n/a	n/a	"Respect women, trust their choices. #Equality"	support	no	train
n/a	n/a	Everyone deserves access to reproductive healthcare. #Healthcare	support	no	train
n/a	n/a	"Respect women, trust their choices. #MyBodyMyChoice"	support	no	train
n/a	n/a	"Respect women, trust their choices. #ProChoice"	support	no	train
n/a	n/a	Defend the right to choose. Always.	support	no	train
n/a	n/a	Dignity includes the right to make your own choices. #MyBodyMyChoice	support	no	train
n/a	n/a	Abortion rights are essential for justice. #Justice	support	no	train
n/a	n/a	Abortion rights are essential for justice.	support	no	train
n/a	n/a	Defend the right to choose. Always. #Equality	support	no	train
n/a	n/a	Defend the right to choose. Always. #Justice	support	no	train
n/a	n/a	Reproductive care is basic healthcare. #ProChoice	support	no	train
n/a	n/a	Access to abortion is access to equality. #ProChoice	support	no	train
n/a	n/a	Abortion is a deeply personal decision. #ProChoice	support	no	train
n/a	n/a	The future depends on protecting choice. #MyBodyMyChoice	support	no	train
n/a	n/a	Justice includes the right to safe abortion. #ReproductiveRights	support	no	train
n/a	n/a	Abortion rights are fundamental human rights. #Healthcare	support	no	train
n/a	n/a	"Respect women, trust their choices."	support	no	train
n/a	n/a	Abortion care saves lives and supports families.	support	no	train
n/a	n/a	"Protect choice, protect dignity. #Freedom"	support	no	train
n/a	n/a	Dignity includes the right to make your own choices. #Healthcare	support	no	train
n/a	n/a	Equality begins with reproductive justice. #Freedom	support	no	train
n/a	n/a	Dignity includes the right to make your own choices. #Equality	support	no	train
n/a	n/a	Access to abortion is access to equality. #Equality	support	no	train
n/a	n/a	Everyone deserves safe and legal abortion access. #Justice	support	no	train
n/a	n/a	"Protect choice, protect dignity. #Equality"	support	no	train
n/a	n/a	No one should make choices for someone else. #Freedom	support	no	train
n/a	n/a	Abortion care saves lives and supports families. #MyBodyMyChoice	support	no	train
n/a	n/a	The future depends on protecting choice. #Equality	support	no	train
n/a	n/a	Abortion rights are essential for justice. #ReproductiveRights	support	no	train
n/a	n/a	Abortion care saves lives and supports families. #Freedom	support	no	train
n/a	n/a	Abortion bans violate human rights. #ReproductiveRights	support	no	train
n/a	n/a	The future depends on protecting choice. #Freedom	support	no	train
n/a	n/a	Everyone deserves safe and legal abortion access. #Freedom	support	no	train
n/a	n/a	Reproductive freedom is a human right.	support	no	train
n/a	n/a	"Healthcare should include everyone, always. #Equality"	support	no	train
n/a	n/a	"Respect women, trust their choices. #Healthcare"	support	no	train
n/a	n/a	Women's voices matter. Support their rights. #Justice	support	no	train
n/a	n/a	Everyone deserves access to reproductive healthcare. #Justice	support	no	train
n/a	n/a	"Choice is about freedom, not control. #Healthcare"	support	no	train
n/a	n/a	"Healthcare should include everyone, always. #Healthcare"	support	no	train
n/a	n/a	Everyone deserves access to reproductive healthcare. #ReproductiveRights	support	no	train
n/a	n/a	"Choice is about freedom, not control. #ProChoice"	support	no	train
n/a	n/a	Defend the right to choose. Always. #Healthcare	support	no	train
